ID,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,persons_tested_final,testing_rate_final,adj_testing_rate_final,population
267,5/31/2020,Unincorporated - Littlerock/Pearblossom,20,20,550,0,0,0,111,3110,3186,3569
268,5/31/2020,Unincorporated - Llano,1,1,109,0,0,0,19,2166,1662,877
269,5/31/2020,Unincorporated - Marina del Rey,14,14,116,1,11,13,474,5037,4172,9411
270,5/31/2020,Unincorporated - Monrovia,20,20,509,0,0,0,151,3891,3858,3881
271,5/31/2020,Unincorporated - Newhall,1,1,461,0,0,0,6,2727,2814,220
272,5/31/2020,Unincorporated - North Lancaster,5,5,432,0,0,0,32,2671,2774,1198
273,5/31/2020,Unincorporated - North Whittier,12,12,144,1,12,11,271,3242,3190,8360
274,5/31/2020,Unincorporated - Northeast San Gabriel,53,53,216,2,8,9,746,3104,2979,24036
275,5/31/2020,Unincorporated - Palmdale,4,4,537,0,0,0,27,3207,3507,842
276,5/31/2020,Unincorporated - Pearblossom/Llano,2,2,54,0,0,0,40,2045,2039,1956
277,5/31/2020,Unincorporated - Pellissier Village,1,1,195,0,0,0,19,3069,3206,619
278,5/31/2020,Unincorporated - Pomona,1,1,99,0,0,0,16,826,2185,1938
279,5/31/2020,Unincorporated - Quartz Hill,44,44,300,9,70,51,390,3022,2830,12906
280,5/31/2020,Unincorporated - Rancho Dominguez,18,18,590,1,38,18,158,5938,5626,2661
281,5/31/2020,Unincorporated - Rosewood,5,5,540,0,0,0,67,5210,5143,1286
282,5/31/2020,Unincorporated - Rosewood/West Rancho Dominguez,28,28,892,0,0,0,0,0,0,3361
283,5/31/2020,Unincorporated - Rowland Heights,130,130,249,5,10,6,1088,2132,1979,51022
284,5/31/2020,Unincorporated - San Jose Hills,59,59,294,2,10,10,579,2863,2833,20221
285,5/31/2020,Unincorporated - San Pasqual,1,1,24,0,0,0,43,2113,2242,2035
286,5/31/2020,Unincorporated - Santa Catalina Island,2,2,2700,0,0,0,62,23221,26071,267
287,5/31/2020,Unincorporated - Santa Monica Mountains,22,22,126,1,5,2,1048,5628,5802,18621
288,5/31/2020,Unincorporated - Saugus,4,4,2844,0,0,0,106,68387,76310,155
289,5/31/2020,Unincorporated - South Antelope Valley,1,1,256,0,0,0,8,1758,1395,455
290,5/31/2020,Unincorporated - South El Monte,7,7,362,0,0,0,68,3788,3678,1795
291,5/31/2020,Unincorporated - South San Gabriel,34,34,323,3,34,22,493,5572,4628,8848
292,5/31/2020,Unincorporated - South Whittier,151,151,248,8,14,13,1496,2526,2485,59222
293,5/31/2020,Unincorporated - Stevenson Ranch,34,34,161,0,0,0,875,4173,4073,20966
294,5/31/2020,Unincorporated - Sun Village,18,18,313,0,0,0,174,2883,2859,6036
295,5/31/2020,Unincorporated - Sunrise Village,3,3,229,0,0,0,34,2623,2564,1296
296,5/31/2020,Unincorporated - Twin Lakes/Oat Mountain,4,4,280,1,60,78,117,7057,6217,1658
297,5/31/2020,Unincorporated - Val Verde,23,23,635,0,0,0,277,8371,8138,3309
298,5/31/2020,Unincorporated - Valencia,7,7,674,1,33,258,102,3320,4013,3072
